"LOCAL","VISITANTE","RESULTADO"
"Marbella","RM Castilla","1-0"
"Atlético Madrid B","Atlético Sanluqueño","0-1"
"UD Ibiza","Villarreal B","1-1"
"Hércules","AD Ceuta","2-0"
"Betis B","Intercity","0-3"
"Yeclano","Alcorcón","1-1"
"Alcoyano","Algeciras","1-1"
"Sevilla Atlético","Real Murcia","1-2"
"Fuenlabrada","Antequera","0-0"
"Mérida","Recreativo","3-3"
"Alcorcón","Hércules","4-1"
"AD Ceuta","Fuenlabrada","1-0"
"RM Castilla","UD Ibiza","0-1"
"Recreativo","Alcoyano","1-1"
"Real Murcia","Yeclano","0-1"
"Algeciras","Sevilla Atlético","1-1"
"Intercity","Atlético Madrid B","1-1"
"Villarreal B","Betis B","2-2"
"Atlético Sanluqueño","Mérida","0-3"
"Antequera","Marbella","3-1"
"Mérida","Algeciras","1-0"
"Atlético Madrid B","Antequera","0-1"
"Betis B","Recreativo","3-1"
"Villarreal B","RM Castilla","1-1"
"Hércules","Intercity","1-1"
"Marbella","AD Ceuta","0-1"
"Yeclano","UD Ibiza","0-1"
"Fuenlabrada","Alcorcón","0-0"
"Alcoyano","Real Murcia","0-3"
"Sevilla Atlético","Atlético Sanluqueño","5-2"
"Recreativo","Sevilla Atlético","2-2"
"Algeciras","Marbella","1-3"
"Antequera","Villarreal B","2-0"
"Alcorcón","Atlético Madrid B","2-3"
"Yeclano","Fuenlabrada","0-1"
"RM Castilla","Betis B","1-1"
"Real Murcia","Mérida","2-0"
"AD Ceuta","Atlético Sanluqueño","2-2"
"UD Ibiza","Hércules","1-1"
"Intercity","Alcoyano","0-2"
"Atlético Sanluqueño","RM Castilla","2-2"
"Mérida","UD Ibiza","1-0"
"Atlético Madrid B","Yeclano","0-0"
"Hércules","Real Murcia","2-0"
"Betis B","AD Ceuta","0-0"
"Villarreal B","Recreativo","1-0"
"Marbella","Fuenlabrada","1-1"
"Alcoyano","Alcorcón","2-1"
"Sevilla Atlético","Antequera","2-2"
"Intercity","Algeciras","0-1"
"Yeclano","Atlético Sanluqueño","2-0"
"Fuenlabrada","Atlético Madrid B","0-1"
"AD Ceuta","Recreativo","1-0"
"RM Castilla","Hércules","1-0"
"Alcorcón","Sevilla Atlético","2-2"
"Marbella","Mérida","1-0"
"UD Ibiza","Alcoyano","1-0"
"Real Murcia","Betis B","0-1"
"Antequera","Intercity","1-1"
"Algeciras","Villarreal B","1-1"
"Alcoyano","Marbella","2-1"
"Intercity","Yeclano","1-1"
"Betis B","Algeciras","1-1"
"Sevilla Atlético","RM Castilla","1-0"
"Recreativo","Fuenlabrada","1-1"
"Atlético Madrid B","AD Ceuta","1-1"
"Real Murcia","Alcorcón","3-1"
"Mérida","Villarreal B","1-1"
"Atlético Sanluqueño","UD Ibiza","0-0"
"Hércules","Antequera","1-0"
"Algeciras","Hércules","2-3"
"RM Castilla","Yeclano","1-1"
"Marbella","Sevilla Atlético","4-1"
"UD Ibiza","Atlético Madrid B","1-1"
"Alcorcón","Betis B","1-2"
"Antequera","Mérida","1-1"
"AD Ceuta","Intercity","0-2"
"Recreativo","Real Murcia","0-1"
"Villarreal B","Atlético Sanluqueño","1-1"
"Fuenlabrada","Alcoyano","0-2"
"Atlético Madrid B","Recreativo","0-0"
"Sevilla Atlético","Villarreal B","2-1"
"Algeciras","AD Ceuta","2-0"
"Alcorcón","RM Castilla","2-1"
"Intercity","UD Ibiza","0-1"
"Yeclano","Hércules","0-0"
"Mérida","Betis B","1-1"
"Alcoyano","Antequera","1-1"
"Real Murcia","Marbella","0-0"
"Atlético Sanluqueño","Fuenlabrada","2-1"
"Fuenlabrada","UD Ibiza","1-0"
"Marbella","Intercity","2-1"
"Betis B","Yeclano","2-0"
"Sevilla Atlético","AD Ceuta","0-0"
"Hércules","Atlético Madrid B","1-2"
"Villarreal B","Real Murcia","0-1"
"RM Castilla","Algeciras","1-1"
"Recreativo","Alcorcón","1-0"
"Antequera","Atlético Sanluqueño","1-0"
"Mérida","Alcoyano","2-2"
"Atlético Madrid B","RM Castilla","1-1"
"Yeclano","Antequera","1-1"
"Algeciras","Fuenlabrada","2-1"
